Region,Name,Service_Offering,Business_Function,Insurance_Portfolio,Value_to_User,DXC_Stack,Success,Category,Relationship_Stage,Commercials,Co-innovation_Level,logo,website,revenue_opportunity,revenue_realized,,tags,,Relationship_Owner,NDA_Start,NDA_Finish,Contracts _Start,Contracts_Finish
Americas,360GlobalNet,Visual technologies to process claims with ease,"P&C - Clearance, P&C - FNOL, P&C - Claims Mgmt, P&C - Loss Assess & Eval, P&C - Claims Settlement","P&C, L&W","Customer, Partner, Prod Manager, Management","Apps, Advisory",2-Proven,Component,"Identified, NDA Executed, Commercials complete, Marketplace content",SaaS,"API Integration, Component Dev, Solution Development",360globalnet.png,https://www.360globalnet.com/en,"$433,000","$586,000",,"claims,evidence",,J. Benson,,,,2/26/16
NCEE,Adviscent,,,,,,,,,,,adviscent.svg,https://adviscent.com/,,,,,,M. Ahmad,5/17/20,,,
Americas,Afficiency,Life insurance product development with consumer focus,Product Development,"L&W, P&C",,Analytics and AI,2-Proven,Service Provider,"Identified, NDA Executed",,"Platform Extension, Service Provider, Service Provider, Platform Extension, Component Dev, Platform Extension",afficiency.png,http://www.afficiency.com/,$0,,,"ui,product",,C. Neuman,,,,
Americas,Amali (SubroPro),Subrogation automation and analytics,P&C - Loss Assess & Eval,P&C,,Analytics and AI,1-Early Stage,,"Identified, NDA Executed, Commercials complete","MSA, Resell, Referral",Storyboard,amali.png,http://amalisg.com/,,,,"subrogation,claims",,J. Benson,,,,7/23/18
Americas,Appian,,,,,,,,"Identified, NDA Executed",,,appian.svg,https://www.appian.com/,,,,,,F. Siddiqi,9/13/17,9/14/17,,3/5/18
NCEE,Araneum,"AI, ML for credit card transaction data producing social graph","Finance, HR & Legal",Cross Industry,,Analytics and AI,,,"Identified, NDA Executed, Commercials complete",Terminated,,araneum.png,https://www.araneum.ch/,,,,,,J. Stern,6/21/19,6/24/19,7/2/19,9/9/19
NCEE,Atidot,"Predictive analytics, insights from Insurers' book of business",,L&W,,"Analytics and AI, Advisory",2-Proven,,"Identified, NDA Executed",Referral,,atidot.webp,https://www.atidot.com/,,,,"analytics,insight",,S. Seet,11/25/19,12/4/19,,
Americas,Aureus,"AUREUS is the Customer Intelligence and Experience company that enables insurance carriers, agents, brokers and MGAs  to deliver a superior customer experience to their policyholders with quantifiable benefits that include increased retention, higher cross-sell rates and lifetime value to existing policyholders. Aureus' proprietary algorithm SentiMeter® uses deep text analytics and artificial intelligence to measure the customer sentiment in real-time for all policyholders. The AI platform works with the existing customer data from agents, brokers, carriers, and MGAs that enables  them to know their customers on a deeper level, predict what is likely to happen next, and help them act on those predictions at the right point in time. All this is done by leveraging AI and  machine learning technologies and delivering the actionable insights in natural language at the ""Point of Decision"" ",,"P&C, Brokering, L&W",,Analytics and AI,"2-Proven, 3-Leaders",,"Identified, NDA Executed, Commercials complete","Resell, Referral","Storyboard, API Integration",aureus.png,https://www.aureusanalytics.com/,,,,"Customer Experience, Insurance Analytics, Artificial Intelligence, Machine Learning, Insurtech, Sentiment Analytics, Predictive Modelling, Natural Language Processing, Natural Language Processing, Big Data, Household Analytics, Actionable Insights, Algorithms, Sentimeter Score, Life Insurance, P&C, Independent Agents & Brokers, Implicit Feedback, Explicit Feedback, Claims Analytics, Fraud Analytics, Retention Analytics, Underwriting, Persistency, Customer Journey, One View, Cross-sell, Up-sell, Lapse Revival, Surrender Analytics, Product Recommendation, Claims Frequency, Unique Customer Identity, Voice Analytics, Text Analytics, Visualization.",,S.Ponnuswamy,11/18/19,11/19/19,1/23/20,3/17/20
Americas,Automation Anywhere,,,,,,,,"Identified, NDA Executed",,,automationanywhere.svg,https://www.automationanywhere.com/,,,,,,R Kumar,3/22/20,4/17/20,,
NCEE,B3i,,,,,,,,"Identified, NDA Executed",,Storyboard,b3i.png,https://b3i.tech,,,,,,B. Kahn,1/29/20,2/24/20,,
NCEE,BehavioSec,Behavioral biometrics for aurhentrication,"Security, Risk & Compliance",Cross Industry,,Apps,,,"Identified, NDA Executed",,,behaviosec.svg,https://www.behaviosec.com/,,,,,,J. Stern,7/5/19,7/17/19,,
NCEE,Billon,,,,,,,,"Identified, Identified, NDA Executed, Commercials in-progess",,,,,,,,,,J. Waldius,1/15/20,1/16/20,1/26/20,
Americas,Body Composition,"BCT is a validated smartphone-based solution that digitally measures body circumference and fat composition in the privacy of the home and assesses these markers for chronic disease risk in support of insurance and healthcare industries. We enable people and organizations to quickly, privately and non-invasively identify and monitor populations with diabetes and pre-diabetes risk and other chronic disease risk and guide them towards improved outcomes. In the context of Covid-19, we capture the markers of underlying chronic conditions that typically go undiagnosed and leave people vulnerable. This is a key driver and engagement point in an individual’s health journey, especially since outdated measurements such as BMI are poor indicators of metabolic health and typically lead to risk misclassification. BCT can easily be integrated into an insurer’s digital platform and support underwriting and health engagement while guiding policyholders towards improved outcomes (and reduced claims).
An individual is guided through our application’s user friendly image capturing process which involves taking a front and side image using his/her smartphone. The photos are processed  and evaluated using advanced statistical methods, computer vision, machine learning and artificial intelligence, after which they are deleted. No identifiable information ever leaves the phone during the 30 second process.  The app then returns an avatar to the user with accurate waist, hip, chest and thigh circumference measurements, total body fat percentage, hip to waist ratio, height to waist ratio, and then assessess these variables for an individual’s chronic disease risk using WHO and IDF published guidelines. 
BCT’s application provides the insurer with regular, accurate, and objective measures of an individual’s chronic disease risk in 30 seconds within the privacy of their home supporting several use cases including digital underwriting, health management, policyholder engagement, onboarding and retention, and claim reduction.","Re-insurance - Underwriting, P&C - Claims Prevention, L&W - Claims Prevention, Underwriting","L&W, P&C, Reinsurance",,Advisory,1-Early Stage,,"Identified, NDA Executed, Commercials in-progess",,Storyboard,bct.webp,https://www.bodycomposition.tech/,,,,"Accurate Body Circumference app, Digital Underwriting app, Accurate Body Fat, Body measurements app, Body composition technology, Chronic Disease Risk Assessment, Diabetes screening, Health management, Wellness app, Healthcare app",,S.Ponnuswamy,11/24/19,11/26/19,5/6/20,
Americas,BluePrism,,"P&C - Policy Changes, L&W - Policy Changes",,,,,,,,,blueprism.svg,blueprism.com,,,,,,,,,,
Americas,Brainspace,AI & ML assisted discovery and investigation,"Security, Risk & Compliance",P&C,,Analytics and AI,,,"Identified, NDA Executed",,,brainspace.png,https://www.brainspace.com/,,,,,,J.Benson,11/15/18,12/17/18,,
NCEE,Bridgei2i,,,,,,,,"Identified, NDA Executed",,,,,,,,,,L. Fischkandl,4/9/20,4/14/20,,
India,c2LBiz,transforming insurance distribution and sales,Marketing & Distribution,P&C,,BPS,1-Early Stage,,"Identified, NDA Executed, Marketplace content, APIs published",,Storyboard,,,,,,,,S.Ponnuswamy,7/11/19,7/18/19,,
NCEE,Cambridge Blockchain,,,Cross Industry,,Apps,1-Early Stage,,"Identified, NDA Executed",,,,,,,,,,J. Stern,8/5/19,8/6/19,,
India,CarIQ,connected car platform for UBI,Claims Management,P&C,,Apps,,,"Identified, NDA Executed",,,cariq.png,https://mycariq.com/,,,,,,S.Ponnuswamy,7/11/19,7/15/19,,
Americas,Celerity,,,,,,,,,,,,,,,,,,F. Siddiqi,,,,
Americas,Clew,,,,,,,,"Identified, NDA Executed",,,clewmed.png,https://clewmed.com/,,,,,,V. Saxena,5/4/20,5/19/20,,
Americas,Concirrus,Marine and auto IoT tracking,Asset Management/Investments,"P&C, Reinsurance, Specialty commercial","Customer, Partner",Apps,2-Proven,Platform Extension,"Identified, NDA Executed",,,concirrus.png,https://www.concirrus.com/,,,,"marine, iot, analytics",,F. Siddiqi,5/6/18,5/15/19,,
Americas,Corporate Creations,Registered agent and compliance services,"Security, Risk & Compliance",P&C,,Apps,,Service Provider,"Identified, NDA Executed, Commercials complete",Referral,,corporatecreations.png,https://www.corporatecreations.com/,,,,,,J.Benson,6/15/18,6/18/18,6/18/18,8/27/18
Americas,CyberSource,Payment management and fraud prevention,"Finance, HR & Legal",Cross Industry,,Apps,3-Leaders,,Identified,,,cybersource.png,https://www.cybersource.com/,,,,,,,,,,
NCEE,Cybus,,,,,,,,"Identified, NDA Executed, Commercials in-progess",,,,,,,,,,F. Gross,9/30/19,10/1/19,5/19/20,
ANZ,Daisee,AI for commercial application in vision and voice,Asset Management/Investments,,,Analytics and AI,,,"Identified, Identified, NDA Executed",,,daisee.png,https://www.daisee.com/,,,,,,,9/24/19,10/9/19,,
NCEE,Digi.me,,,,,,,,"Identified, NDA Executed, Commercials in-progess",,,digime.png,https://digi.me/,,,,,,J. Stern,9/11/19,9/11/19,11/20/19,
Americas,DigitalFineprint,"Commercial AME distribution, product intelligent analytics",Marketing & Distribution,,,BPS,,,"Identified, NDA Executed, Commercials complete","Resell, Referral",,digitalfineprint.webp,https://digitalfineprint.com/,,,,,,C. Bedford,1/22/19,1/24/19,2/11/19,7/10/19
India,Disprz,"learning, engagement and career management for Insurers",General,,,Advisory,,,"Identified, NDA Executed",,,disprz.png,https://www.disprz.com/,,,,,,S.Ponnuswamy,7/11/19,7/18/19,,
Americas,DropIn,Evidence collection,Claims Management,P&C,,Apps,,,"Identified, NDA Executed",,,dropin.png,https://www.dropininc.com/,,,,,,F. Siddiqi,10/29/19,11/8/19,,
NCEE,eBankIT,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J. Stern,12/4/19,12/4/19,,
India,Eigenlytics,"Eigenlytics data solutions is a B2B data science product company solving problems of data extraction and integration and our offerings are in field of computer vision and pattern recognition.
Our cutting-edge platform-based offering, riding on general purpose artificial intelligence and deep learning, provides unified capability to extract and process all data formats viz. text, documents, images, audio and videos. It is uniquely designed for high user configuration, which makes it widely adaptable for range of BFSI use cases.
While insurance carriers across the globe have been achieve remarkable digitization of various process across their value chain, automation is still broadly far-fetched. We take the extent of automation as one of our key benchmarks for success. Through our product, we are able to take out the manual intervention of data entry either from scanned images or physical documents, which results in massive reduction in man power needed for data entry and thus in turn brings down the TAT and cost of business operations.","Analytics, AL, ML","L&W, P&C",,Analytics and AI,,,"Identified, NDA Executed, Commercials complete, Marketplace content",MSA,Storyboard,eigenlytics.png,http://www.eigenlytics.com/,,,,,,S.Ponnuswamy,7/11/19,7/17/19,10/14/19,3/24/20
